,rho,pval,mae,mse,rmse,r2,adjr2,dt,knn,svr,aic,bic,err,errstd,maestd
Onset Step Density + Meter,0.874,9.16E-82,0.131,0.029,0.169,0.634,-0.364,0.147,0.114,0.000,479.843,12.891,0.080,0.150,0.107
Freq. Weighted Step Density ,0.867,6.66E-79,0.135,0.030,0.172,0.623,-0.375,0.153,0.141,0.000,480.057,13.106,-0.033,0.169,0.106
Onset Step Density + Syncop. + Meter,0.855,2.97E-74,0.132,0.030,0.174,0.614,-0.384,0.164,0.127,0.000,480.242,13.290,0.068,0.160,0.113
Freq. Weighted Step Density + Syncop. + Meter,0.844,1.42E-70,0.158,0.040,0.199,0.496,-0.503,0.160,0.120,0.000,482.613,15.662,0.092,0.176,0.121
Freq. Weighted Step Density + Meter,0.843,2.79E-70,0.168,0.043,0.208,0.446,-0.552,0.147,0.110,0.000,483.605,16.653,0.113,0.175,0.124
Onset Step Density,0.836,4.37E-68,0.161,0.040,0.201,0.484,-0.514,0.177,0.160,0.000,482.847,15.895,-0.088,0.181,0.120
Note Presence + Meter,0.800,2.35E-58,0.142,0.033,0.181,0.580,-0.417,0.182,0.145,0.000,480.911,13.960,0.042,0.176,0.113
Relative Onset Step Density + Meter,0.798,7.13E-58,0.161,0.046,0.215,0.409,-0.590,0.191,0.151,0.000,484.358,17.407,0.076,0.201,0.143
Note Presence + Syncop. + Meter,0.798,9.30E-58,0.143,0.033,0.181,0.580,-0.418,0.185,0.147,0.000,480.919,13.968,0.037,0.178,0.112
Relative Onset Step Density + Syncop. + Meter,0.773,4.06E-52,0.163,0.049,0.221,0.376,-0.623,0.205,0.158,0.000,485.017,18.066,0.065,0.211,0.149
Onset Step Density + Syncop.,0.707,4.68E-40,0.189,0.059,0.242,0.250,-0.749,0.253,0.200,0.000,487.530,20.579,-0.057,0.236,0.152
Freq. Weighted Step Density + Syncop.,0.702,2.54E-39,0.179,0.056,0.236,0.290,-0.709,0.229,0.193,0.000,486.744,19.792,0.009,0.236,0.153
Relative Onset Step Density,0.687,4.31E-37,0.193,0.063,0.250,0.201,-0.798,0.232,0.204,0.000,488.517,21.566,-0.037,0.247,0.159
Note Presence + Polyphonic Syncopation,0.666,3.17E-34,0.174,0.054,0.232,0.314,-0.685,0.223,0.171,0.000,486.260,19.309,0.015,0.231,0.153
Relative Onset Step Density + Syncop.,0.534,2.97E-20,0.228,0.086,0.294,-0.102,-1.103,0.288,0.238,0.000,494.603,27.652,0.019,0.293,0.185
Note Presence,0.517,6.51E-19,0.459,0.300,0.548,-2.831,-3.842,0.182,0.188,0.000,549.313,82.362,-0.427,0.343,0.300
Note Presence + Syncop.,0.430,6.48E-13,0.426,0.267,0.516,-2.404,-3.413,0.294,0.286,0.000,540.755,73.804,-0.351,0.379,0.291
