,rho,pval,mae,mse,rmse,r2,adjr2,dt,knn,svr,aic,bic,err,errstd,maestd
Freq. Weighted Step Density ,0.865,4.19E-78,0.135,0.030,0.172,0.561,-0.436,0.173,0.138,,480.106,13.155,-0.003,0.172,0.107
Onset Step Density + Meter,0.840,2.54E-69,0.160,0.040,0.200,0.412,-0.586,0.140,0.123,,482.693,15.741,0.109,0.167,0.120
Onset Step Density,0.815,4.39E-62,0.162,0.040,0.200,0.411,-0.587,0.179,0.164,,482.708,15.757,-0.058,0.191,0.117
Freq. Weighted Step Density + Meter,0.808,2.06E-60,0.202,0.057,0.239,0.159,-0.840,0.136,0.127,,487.079,20.128,0.143,0.191,0.127
Freq. Weighted Step Density + Syncop. + Meter,0.792,2.93E-56,0.196,0.055,0.235,0.187,-0.812,0.163,0.146,,486.592,19.641,0.122,0.201,0.128
Note Presence + Meter,0.791,3.83E-56,0.153,0.036,0.189,0.472,-0.526,0.163,0.141,,481.650,14.699,0.072,0.175,0.111
Onset Step Density + Syncop. + Meter,0.789,9.57E-56,0.168,0.045,0.213,0.332,-0.667,0.170,0.145,,484.087,17.136,0.098,0.189,0.130
Note Presence + Syncop. + Meter,0.781,5.92E-54,0.155,0.037,0.191,0.461,-0.537,0.167,0.146,,481.842,14.890,0.067,0.179,0.112
Relative Onset Step Density + Meter,0.776,8.11E-53,0.183,0.055,0.235,0.182,-0.817,0.184,0.159,,486.687,19.736,0.106,0.210,0.148
Relative Onset Step Density + Syncop. + Meter,0.720,4.13E-42,0.191,0.062,0.250,0.080,-0.919,0.218,0.188,,488.451,21.500,0.094,0.231,0.161
Freq. Weighted Step Density + Syncop.,0.687,5.02E-37,0.184,0.058,0.241,0.145,-0.855,0.234,0.188,,487.333,20.382,0.039,0.238,0.155
Onset Step Density + Syncop.,0.686,5.18E-37,0.186,0.058,0.241,0.143,-0.856,0.225,0.195,,487.364,20.412,-0.027,0.239,0.153
Relative Onset Step Density,0.667,2.92E-34,0.195,0.063,0.251,0.068,-0.932,0.240,0.205,,488.670,21.718,-0.008,0.251,0.159
Note Presence + Polyphonic Syncopation,0.666,3.24E-34,0.180,0.052,0.229,0.226,-0.773,0.221,0.176,,485.927,18.976,0.045,0.225,0.141
Note Presence,0.552,8.55E-22,0.441,0.266,0.516,-2.922,-3.934,0.158,0.166,,540.543,73.592,-0.397,0.329,0.267
Relative Onset Step Density + Syncop.,0.518,5.80E-19,0.231,0.087,0.295,-0.287,-1.288,0.266,0.225,,494.822,27.870,0.049,0.291,0.184
Note Presence + Syncop.,0.476,7.51E-16,0.407,0.233,0.483,-2.441,-3.450,0.244,0.240,,532.185,65.234,-0.321,0.361,0.259
